,№,Radical,Freq.,General standard #,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,pinyin,pinyin,tone,Meaning,,Goal
,150,人 9.2,601,0135,67490,"0,034878%",4,3,4,仍,réng,reng,second,"yet, still, as ever; again; keep -ing, continuing",,政
,151,人 9.2,831,0140,41749,"0,021575%",2,1,4,介,jiè,jie,fourth,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",,美
,152,人 9.2,1360,0128,17263,"0,008921%",6,7–9,4,仁,rén,ren,second,"humaneness, benevolence, kindness",,相
,153,人 9.2,1536,0133,13118,"0,006779%",6,7–9,4,仇,chóu,chou,second,"enemy, hate, hatred, enmity",,见
,154,人 9.2,1812,0131,8976,"0,004639%",,7–9,4,仆,pū,pu,first,"fall forward; lie prostrate, prone; servant",,被
,155,人 9.2,1882,0149,8275,"0,004276%",6,6,4,仓,cāng,cang,first,granary; berth; sea,,利
,156,人 9.2,2139,0143,5882,"0,003040%",,,4,仑,lún,lun,second,"logical reasons, logical order",,什
,157,人 9.2,4282,3513,424,"0,000219%",,,4,仄,zè,ze,fourth,"slanting, oblique; oblique tones",,二
,158,人 9.2,4973,3515,187,"0,000097%",,,4,仃,dīng,ding,first,"lonely, solitary",,等
,159,人 9.2,6946,3517,13,"0,000007%",,,4,仂,lè,le,fourth,surplus or excess; remainder,,产
,160,人 9.2,7373,3516,7,"0,000004%",,,4,仉,zhǎng,zhang,third,surname of the mother of Mencius,,或
,161,人 9.3,10,0277,1595761,"0,824666%",1,1,5,他,tā,ta,first,"other, another; he, she, it",,新
,162,人 9.3,13,0273,1169853,"0,604563%",1,1,5,们,men,men,neutral,adjunct pronoun indicate plural,,己
,163,人 9.3,23,0182,910627,"0,470598%",2,2,4,以,yǐ,yi,third,"by means of; thereby, therefore; consider as; in order to",,制
,164,人 9.3,174,0271,231734,"0,119757%",5,3,5,代,dài,dai,fourth,"replace, replacement (of person or generation); era, generation",,身
,165,人 9.3,378,0282,114570,"0,059208%",5,5,5,令,lìng,ling,fourth,"to order, to command, an order",,果
,166,人 9.3,820,0269,42527,"0,021977%",4,3,5,付,fù,fu,fourth,"give, deliver, pay, hand over; entrust",,加
,167,人 9.3,1255,0272,20051,"0,010362%",6,7–9,5,仙,xiān,xian,first,"Taoist super-being, transcendent, immortal",,西
,168,人 9.3,1283,0274,19064,"0,009852%",6,6,5,仪,yí,yi,second,"ceremony, rites gifts; admire",,斯
,169,人 9.3,1572,0276,12428,"0,006423%",4,5,5,仔,zǐ,zi,third,"small thing, child; young animal",,月
,170,人 9.3,1712,0270,10263,"0,005304%",6,7–9,5,仗,zhàng,zhang,fourth,"rely upon; protector; fight; war, weaponry",,话
,171,人 9.3,3042,3542,1805,"0,000933%",,,5,仕,shì,shi,fourth,official; serve government,,合
,172,人 9.3,4685,3541,255,"0,000132%",,,5,仨,sā,sa,first,(coll.) three (cannot be followed by a measure word),,回
,173,人 9.3,5443,3543,120,"0,000062%",,,5,仟,qiān,qian,first,one thousand; leader of one thousand men,,特
,174,人 9.3,5516,3546,111,"0,000057%",,,5,仞,rèn,ren,fourth,(measure),,代
,175,人 9.3,5893,3545,72,"0,000037%",,,5,仫,mù,mu,fourth,tribe,,内
,176,人 9.3,6006,3544,63,"0,000033%",,,5,仡,gē,ge,first,strong; valiant,,信
,177,人 9.3,6887,6513,14,"0,000007%",,,5,仝,tóng,tong,second,"together, same; surname",,表
