,№,Radical,Freq.,General standard #,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,pinyin,pinyin,tone,Meaning,,Goal
,8320,足 157.12,6708,,20,"0,000010%",,,19,蹻,juē,jue,first,to raise the feet; to cross the legs; brave; sandals,,
,8321,足 157.12,6717,8035,20,"0,000010%",,,19,蹯,fán,fan,second,paws of animal,,
,8322,足 157.12,6918,,14,"0,000007%",,,19,蹨,niǎn,nian,third,(Cant.) to stand on tiptoe,,
,8323,足 157.12,7550,6388,5,"0,000003%",,,19,蹾,dūn,dun,first,to squat; to crouch,,
,8324,足 157.12,7808,,4,"0,000002%",,,19,蹷,jué,jue,second,"to kick back; to stumble, slip, fall",,
,8325,足 157.12,8171,,3,"0,000002%",,,19,蹱,zhōng,zhong,first,to stagger along; to fall,,
,8326,足 157.12,8297,6385,2,"0,000001%",,,19,蹽,liāo,liao,first,"to run, to slip away, to stride",,
,8327,足 157.12,8545,,2,"0,000001%",,,19,蹹,tá,ta,second,to tread on; to stamp; to walk,,
,8328,足 157.12,9152,,1,"0,000001%",,,19,蹳,bō,bo,first,,,
,8329,足 157.13,2451,3477,3917,"0,002024%",6,7–9,20,躁,zào,zao,fourth,"tense, excited, irritable",,
,8330,足 157.13,3322,6332,1283,"0,000663%",,,18,躇,chú,chu,second,"hesitate, falter, be undecided",,
,8331,足 157.13,5611,6429,101,"0,000052%",,,20,躅,zhú,zhu,second,"walk carefully; hesitate, falter",,
,8332,足 157.13,7097,,10,"0,000005%",,,20,躄,bì,bi,fourth,"cripple, lame",,
,8333,足 157.13,8906,,1,"0,000001%",,,19,躉,dǔn,dun,third,sell or buy wholesale; store,,
,8334,足 157.14,3821,3492,688,"0,000356%",,,21,躏,lìn,lin,fourth,"trample down, oppress, overrun",,
,8335,足 157.14,7682,,5,"0,000003%",,,21,躍,yuè,yue,fourth,"skip, jump, frolic",,
,8336,足 157.15,6764,6471,18,"0,000009%",,,22,躐,liè,lie,fourth,to stride over; to step across,,
,8337,足 157.15,7321,8093,7,"0,000004%",,,22,躔,chán,chan,second,"follow in, imitate; rut, path",,
,8338,足 157.15,9879,,1,"0,000001%",,,22,躒,lì,li,fourth,"walk, move",,
,8339,足 157.16,6930,6482,13,"0,000007%",,,23,躜,zuān,zuan,first,to jump,,
,8340,足 157.16,8489,,2,"0,000001%",,,23,躘,lóng,long,second,to walk,,
,8341,足 157.16,9153,,1,"0,000001%",,,23,躛,wèi,wei,fourth,exaggerate,,
,8342,足 157.17,6415,6488,33,"0,000017%",,,24,躞,xiè,xie,fourth,to walk,,
,8343,足 157.19,9821,,1,"0,000001%",,,26,躦,cuó,cuo,second,to jump,,
,8344,足 157.2,2977,1493,1942,"0,001004%",6,7–9,9,趴,pā,pa,first,"lying prone, leaning over",,
,8345,足 157.20,9154,,1,"0,000001%",,,27,躩,jué,jue,second,"take quick, short steps",,
,8346,足 157.3,5347,4488,132,"0,000068%",,,10,趸,dǔn,dun,third,sell or buy wholesale; store,,
,8347,足 157.3,6118,4504,53,"0,000027%",,,10,趵,bào,bao,fourth,noise of tramping feet,,
,8348,足 157.3,8543,,2,"0,000001%",,,10,趷,kē,ke,first,to jolt; (Cant.) to raise up; block,,
,8349,足 157.3,8672,,2,"0,000001%",,,10,趶,kù,ku,fourth,,,
,8350,足 157.4,1516,2276,13645,"0,007052%",5,6,11,跃,yuè,yue,fourth,"skip, jump, frolic",,
,8351,足 157.4,3164,2274,1552,"0,000802%",,,11,趾,zhǐ,zhi,third,"toe; tracks, footprints",,
,8352,足 157.4,3330,4830,1265,"0,000654%",,,11,跄,qiāng,qiang,first,walk rapidly,,
,8353,足 157.4,4669,4828,260,"0,000134%",,,11,趺,fū,fu,first,sit cross-legged; back of the foo,,
,8354,足 157.4,5238,4505,146,"0,000075%",,,10,趿,tā,ta,first,to tread on; slipshod,,
,8355,足 157.4,6888,,14,"0,000007%",,,11,趽,fàng,fang,fourth,,,
,8356,足 157.4,7621,7163,5,"0,000003%",,,11,跂,qí,qi,second,"creeping, crawling",,
,8357,足 157.4,9394,,1,"0,000001%",,,11,趹,jué,jue,second,to gallop,,
,8358,足 157.4,9571,,1,"0,000001%",,,11,跁,bà,ba,fourth,"trample on, tread on; search for; (Cant.) to squat down",,
,8359,足 157.5,864,2631,39497,"0,020411%",2,1,12,跑,pǎo,pao,third,"run, flee, leave in hurry",,
,8360,足 157.5,1202,2273,21970,"0,011354%",4,4,11,距,jù,ju,fourth,"at a distance of, distance, to be apart",,
,8361,足 157.5,1578,2628,12242,"0,006326%",5,6,12,践,jiàn,jian,fourth,"trample, tread upon, walk on",,
,8362,足 157.5,1590,2630,11967,"0,006184%",6,6,12,跌,diē,die,first,"stumble, slip, fall down; stamp",,
,8363,足 157.5,2917,2629,2124,"0,001098%",,,12,跋,bá,ba,second,"go by foot; epilogue, colophon",,
,8364,足 157.5,3877,2632,648,"0,000335%",,,12,跛,bǒ,bo,third,lame,,
,8365,足 157.5,3888,5138,638,"0,000330%",,,12,跚,shān,shan,first,"stagger, limp",,
,8366,足 157.5,5127,5140,162,"0,000084%",,,12,跏,jiā,jia,first,sit cross-legged; squat,,
,8367,足 157.5,5254,5139,144,"0,000074%",,,12,跎,tuó,tuo,second,"slip, stumble, falter; vacillate",,
,8368,足 157.5,5301,5137,138,"0,000071%",,,12,跞,lì,li,fourth,"walk, move",,
,8369,足 157.5,5450,5136,120,"0,000062%",,,12,跗,fū,fu,first,the instep,,
,8370,足 157.5,5524,5141,111,"0,000057%",,,12,跆,tái,tai,second,trample,,
,8371,足 157.5,6119,5135,53,"0,000027%",,,12,跖,zhí,zhi,second,sole (of the foot),,
,8372,足 157.5,7029,5455,11,"0,000006%",,,13,跐,cī,ci,first,"to trample, to step, to walk on the ball of the foot",,
,8373,足 157.5,7386,,7,"0,000004%",,,12,跍,kū,ku,first,to squat,,
,8374,足 157.5,7387,,7,"0,000004%",,,12,跓,zhù,zhu,fourth,,,
,8375,足 157.5,7681,,5,"0,000003%",,,12,跉,líng,ling,second,,,
,8376,足 157.5,7824,,4,"0,000002%",,,12,跅,tuò,tuo,fourth,"careless, lax; dissolute",,
,8377,足 157.5,7983,,3,"0,000002%",,,12,跊,mèi,mei,fourth,,,
,8378,足 157.5,8275,,2,"0,000001%",,,12,跘,pán,pan,second,,,
,8379,足 157.5,8673,,2,"0,000001%",,,12,跔,jū,ju,first,numb feet; to limp,,
,8380,足 157.5,9572,,1,"0,000001%",,,12,跈,niǎn,nian,third,,,
,8381,足 157.5,9573,,1,"0,000001%",,,12,跒,qiǎ,qia,third,,,
,8382,足 157.5,0,7354,,"0,000000%",,,12,𧿹,mǔ,mu,third,"thumb, big toe",,
,8383,足 157.6,305,2918,141812,"0,073286%",2,1,13,路,lù,lu,fourth,"road, path, street; journey",,
,8384,足 157.6,541,2920,75958,"0,039254%",3,1,13,跟,gēn,gen,first,"heel; to follow, accompany; with",,
,8385,足 157.6,999,2915,31324,"0,016188%",2,3,13,跳,tiào,tiao,fourth,"jump, leap, vault, bounce; dance",,
,8386,足 157.6,1774,2913,9404,"0,004860%",6,6,13,跨,kuà,kua,fourth,"straddle, bestride, ride; carry",,
,8387,足 157.6,2128,2917,5955,"0,003077%",6,6,13,跪,guì,gui,fourth,kneel,,
,8388,足 157.6,3715,2919,787,"0,000407%",,7–9,13,跤,jiāo,jiao,first,"stumble, fall down; wrestle",,
,8389,足 157.6,3720,2914,783,"0,000405%",,,13,跷,qiāo,qiao,first,to raise one's foot; to stand on tiptoe,,
,8390,足 157.6,3738,2916,765,"0,000395%",,,13,跺,duò,duo,fourth,"stamp feet, step",,
,8391,足 157.6,4014,5458,572,"0,000296%",,,13,跻,jī,ji,first,"ascend, go up, rise",,
,8392,足 157.6,4987,5454,185,"0,000096%",,,13,跸,bì,bi,fourth,"clear way, make room for; emp",,
,8393,足 157.6,5323,5457,135,"0,000070%",,,13,跹,xiān,xian,first,"wander about, walk around; revolve",,
,8394,足 157.6,5704,5456,92,"0,000048%",,,13,跣,xiǎn,xian,third,bare footed,,
,8395,足 157.6,5751,,85,"0,000044%",,,13,跫,qióng,qiong,second,sound of footsteps,,
,8396,足 157.6,6059,5453,58,"0,000030%",,,13,跶,tà,ta,fourth,"stumble, slip",,
,8397,足 157.6,6120,5452,53,"0,000027%",,,13,跬,kuǐ,kui,third,to step; a stride equal to half a pace,,
,8398,足 157.6,6206,7162,46,"0,000024%",,,11,趼,jiǎn,jian,third,callous skin on hands or feet. blisters,,
,8399,足 157.6,7473,,6,"0,000003%",,,13,跡,jī,ji,first,"search, track, trace",,
,8400,足 157.6,8487,7522,2,"0,000001%",,,13,跱,zhì,zhi,fourth,stop,,
,8401,足 157.6,8573,,2,"0,000001%",,,13,跰,pián,pian,second,,,
,8402,足 157.7,3244,5703,1403,"0,000725%",,,14,踉,liáng,liang,second,"hop, jump; hurriedly, urgently",,
,8403,足 157.7,3302,5702,1310,"0,000677%",,,14,踌,chóu,chou,second,"hesitate, falter; smug, self-satisfied",,
,8404,足 157.7,3884,3104,639,"0,000330%",6,7–9,14,踊,yǒng,yong,third,"leap, jump",,
,8405,足 157.7,5268,5637,142,"0,000073%",,,14,踅,xué,xue,second,to walk around; turn back midway,,
,8406,足 157.7,6249,7673,43,"0,000022%",,,14,跽,jì,ji,fourth,"to kneel for a long time, to go down on hands and knees",,
,8407,足 157.7,7434,,6,"0,000003%",,,14,跼,jú,ju,second,"bent, stooped, crouched; contract",,
,8408,足 157.7,7825,,4,"0,000002%",,,14,踆,cūn,cun,first,squat,,
,8409,足 157.7,9147,,1,"0,000001%",,,14,跾,shū,shu,first,,,
,8410,足 157.7,9148,,1,"0,000001%",,,14,踀,chù,chu,fourth,,,
,8411,足 157.7,9286,,1,"0,000001%",,,14,踃,xiāo,xiao,first,,,
,8412,足 157.7,9804,,1,"0,000001%",,,14,踄,bù,bu,fourth,,,
,8413,足 157.8,1532,3244,13193,"0,006818%",6,7–9,15,踪,zōng,zong,first,"footprints, traces, tracks",,
,8414,足 157.8,1753,3242,9656,"0,004990%",6,6,15,踏,tà,ta,fourth,"step on, trample, tread on, walk",,
,8415,足 157.8,2444,3241,3959,"0,002046%",2,6,15,踢,tī,ti,first,kick,,
,8416,足 157.8,2570,3243,3343,"0,001728%",5,6,15,踩,cǎi,cai,third,step on,,
,8417,足 157.8,3651,5919,854,"0,000441%",,,15,踞,jù,ju,fourth,"crouch, squat; sit, occupy",,
,8418,足 157.8,3893,5912,635,"0,000328%",,,15,踝,huái,huai,second,ankle,,
,8419,足 157.8,4661,5916,264,"0,000136%",,,15,踮,diǎn,dian,third,tip toe,,
,8420,足 157.8,5159,5911,157,"0,000081%",,,15,踔,chuō,chuo,first,to get ahead; to stride; to excel,,
,8421,足 157.8,5628,5917,100,"0,000052%",,,15,踯,zhí,zhi,second,"waver, hesitate, be irresolute",,
,8422,足 157.8,6041,5913,60,"0,000031%",,,15,踟,chí,chi,second,"hesitate, undecided; embarrassed",,
,8423,足 157.8,6538,5915,27,"0,000014%",,,15,踬,zhì,zhi,fourth,"stumble, totter; fail, be frustrated",,
,8424,足 157.8,7037,7771,11,"0,000006%",,,15,踣,bó,bo,second,to stumble and fall prone stiff in death,,
,8425,足 157.8,7474,7770,6,"0,000003%",,,15,踦,yǐ,yi,third,the shin; to pierce; to touch,,
,8426,足 157.8,7487,,6,"0,000003%",,,15,踐,jiàn,jian,fourth,"trample, tread upon, walk on",,
,8427,足 157.8,7568,,5,"0,000003%",,,15,踡,quán,quan,second,"curled, coiled",,
,8428,足 157.8,7763,,4,"0,000002%",,,15,踧,cù,cu,fourth,"uneasiness, nervousness; level",,
,8429,足 157.8,7807,,4,"0,000002%",,,15,踘,jū,ju,first,ball,,
,8430,足 157.8,7945,5918,3,"0,000002%",,,15,踺,jiàn,jian,fourth,somersault (in gymnastics or dance); head-over-heels; aerial flip,,
,8431,足 157.8,8359,,2,"0,000001%",,,15,踖,jí,ji,second,"trample on, tread on",,
,8432,足 157.8,8574,,2,"0,000001%",,,15,踥,qiè,qie,fourth,to walk with small steps,,
,8433,足 157.8,8905,,1,"0,000001%",,,15,踨,zōng,zong,first,,,
,8434,足 157.8,0,5914,,"0,000000%",,,15,踒,wō,wo,first,to slip and sprain a blimb,,
,8435,足 157.9,2648,3344,3045,"0,001574%",,,16,蹄,tí,ti,second,hoof; leg of pork; little witch,,
,8436,足 157.9,3009,3343,1878,"0,000971%",,,16,踱,duó,duo,second,"stroll, pace, walk slowly",,
,8437,足 157.9,3695,6093,805,"0,000416%",,,16,踵,zhǒng,zhong,third,"heel; follow; visit, call on",,
,8438,足 157.9,3815,3345,691,"0,000357%",,,16,蹂,róu,rou,second,"trample under foot, tread on",,
,8439,足 157.9,4485,6092,333,"0,000172%",,7–9,16,踹,chuài,chuai,fourth,"trample, tread on, kick; to crush",,
,8440,足 157.9,5222,6094,148,"0,000076%",,,16,踽,jǔ,ju,third,to walk alone; self-reliant,,
,8441,足 157.9,6027,6091,61,"0,000032%",,,16,蹀,dié,die,second,"to skip, to dance; to put the foot down",,
,8442,足 157.9,6561,,26,"0,000013%",,,16,踰,yú,yu,second,"exceed, transgress; cross over",,
,8443,足 157.9,6646,6096,22,"0,000011%",,,16,蹁,pián,pian,second,to walk with a limp,,
,8444,足 157.9,7030,7863,11,"0,000006%",,,16,蹅,chǎ,cha,third,"to tread on, walk through",,
,8445,足 157.9,8296,,2,"0,000001%",,,15,踫,pèng,peng,fourth,"collide, bump into",,
,8446,足 157.9,8674,,2,"0,000001%",,,16,踴,yǒng,yong,third,"leap, jump",,
,8447,足 157.9,9149,,1,"0,000001%",,,16,踸,chěn,chen,third,,,
,8448,足 157.9,0,7864,,"0,000000%",,,16,踶,dì,di,fourth,paw,,
,8449,身 158.0,164,0786,249725,"0,129054%",2,1,7,身,shēn,shen,first,"body; trunk, hull; rad. no. 158",,
,8450,身 158.10,9290,,1,"0,000001%",,,18,躿,kāng,kang,first,tall,,
,8451,身 158.11,9575,,1,"0,000001%",,,18,軀,qū,qu,first,body,,
,8452,身 158.12,7516,,6,"0,000003%",,,19,軅,yan,yan,neutral,,,
,8453,身 158.12,8058,,3,"0,000002%",,,19,軃,duǒ,duo,third,variant of 亸,,
,8454,身 158.13,8360,,2,"0,000001%",,,20,軆,tǐ,ti,third,"body; group, class, body, unit",,
,8455,身 158.14,9576,,1,"0,000001%",,,21,軇,dào,dao,fourth,,,
,8456,身 158.17,7984,,3,"0,000002%",,,24,軈,ying,ying,neutral,"soon after, soon; almost; no more than; after all",,
,8457,身 158.20,8298,,2,"0,000001%",,,27,軉,yù,yu,fourth,,,
,8458,身 158.3,2650,1972,3037,"0,001569%",6,7–9,10,躬,gōng,gong,first,"body; personally, in person",,
,8459,身 158.4,2310,2335,4797,"0,002479%",,7–9,11,躯,qū,qu,first,body,,
,8460,身 158.4,9880,,1,"0,000001%",,,11,躭,dān,dan,first,to delay; to loiter; to hinder,,
,8461,身 158.6,1644,2962,11201,"0,005789%",5,5,13,躲,duǒ,duo,third,"hide, secrete; avoid, escape",,
,8462,身 158.6,8907,,1,"0,000001%",,,13,躱,duǒ,duo,third,hide,,
,8463,身 158.8,1608,3270,11745,"0,006070%",4,4,15,躺,tǎng,tang,third,"lie down, recline",,
,8464,身 158.8,7082,,10,"0,000005%",,,15,躼,lào,lao,fourth,,,
,8465,身 158.8,9155,,1,"0,000001%",,,15,躶,luǒ,luo,third,"bare, nude; undress, strip",,
,8466,身 158.8,9289,,1,"0,000001%",,,15,躻,kong,kong,neutral,,,
,8467,車 159.0,361,0100,118824,"0,061406%",1,1,4,车,chē,che,first,"cart, vehicle; carry in cart",,
,8468,車 159.0,6437,,32,"0,000017%",,,7,車,chē,che,first,"cart, vehicle; carry in cart",,
,8469,車 159.1,3269,0224,1367,"0,000706%",,,5,轧,yà,ya,fourth,crush by weight; grind,,
,8470,車 159.10,1643,3096,11213,"0,005795%",6,7–9,14,辖,xiá,xia,second,linchpin of wheel; control,,
,8471,車 159.10,3535,3097,990,"0,000512%",,,14,辗,niǎn,nian,third,"turn over, roll",,
,8472,車 159.10,3831,5686,675,"0,000349%",6,,14,辕,yuán,yuan,second,shafts of cart; yamen,,
,8473,車 159.10,7488,,6,"0,000003%",,,17,輾,zhǎn,zhan,third,"turn over, roll",,
,8474,車 159.10,8679,,2,"0,000001%",,,17,輿,yú,yu,second,"cart, palanquin; public opinion",,
,8475,車 159.10,8680,,2,"0,000001%",,,17,轂,gǔ,gu,third,hub of wheel,,
,8476,車 159.10,9375,,1,"0,000001%",,,17,輽,bèn,ben,fourth,vehicle,,
,8477,車 159.11,3819,5898,689,"0,000356%",,,15,辘,lù,lu,fourth,"windlass, pulley, capstan; wheel",,
,8478,車 159.11,5841,,76,"0,000039%",,,18,轉,zhuǎn,zhuan,third,"shift, move, turn",,
,8479,車 159.11,8491,,2,"0,000001%",,,18,轇,jiāo,jiao,first,"complicated, confused; dispute",,
,8480,車 159.11,8492,,2,"0,000001%",,,17,轋,hún,hun,second,,,
,8481,車 159.12,3208,3339,1466,"0,000758%",6,7–9,16,辙,zhé,zhe,second,"wagon ruts, wheel tracks",,
,8482,車 159.12,5973,6080,65,"0,000034%",,,16,辚,lín,lin,second,rumbling of vehicles; threshold,,
,8483,車 159.12,6836,,16,"0,000008%",,,19,轎,jiào,jiao,fourth,"sedan-chair, palanquin",,
,8484,車 159.12,9000,,1,"0,000001%",,,19,轓,fān,fan,first,,,
,8485,車 159.12,0,7854,,"0,000000%",,,16,𫟦,suì,sui,fourth,decoration on carriage,,
,8486,車 159.13,7301,,7,"0,000004%",,,20,轘,huán,huan,second,tear asunder between chariots,,
,8487,車 159.13,8493,,2,"0,000001%",,,19,轕,gé,ge,second,great array of spears and chariots,,
,8488,車 159.13,9159,,1,"0,000001%",,,20,轗,kǎn,kan,third,fail,,
,8489,車 159.14,8059,,3,"0,000002%",,,20,轝,yù,yu,fourth,"envy; hate, dislike; resentment",,
,8490,車 159.14,9584,,1,"0,000001%",,,21,轟,hōng,hong,first,"rumble, explosion, blast",,
,8491,車 159.2,102,0552,362526,"0,187348%",5,5,6,军,jūn,jun,first,"army, military; soldiers, troops",,
,8492,車 159.2,1883,0404,8273,"0,004275%",6,6,6,轨,guǐ,gui,third,"track, rut, path",,
,8493,車 159.2,7196,,9,"0,000005%",,,9,軌,guǐ,gui,third,"track, rut, path",,
,8494,車 159.2,7389,,7,"0,000004%",,,9,軍,jūn,jun,first,"army, military; soldiers, troops",,
,8495,車 159.20,9160,,1,"0,000001%",,,26,轥,lìn,lin,fourth,,,
,8496,車 159.3,2389,0709,4304,"0,002224%",,,7,轩,xuān,xuan,first,carriage; high; wide; balcony,,
,8497,車 159.3,5963,3691,67,"0,000035%",,,7,轫,rèn,ren,fourth,a block that keeps a wheel from moving,,
,8498,車 159.3,7517,,6,"0,000003%",,,10,軓,fàn,fan,fourth,,,
,8499,車 159.3,7683,,5,"0,000003%",,,10,軒,xuān,xuan,first,carriage; high; wide; balcony; surname of the Yellow Emperor,,
,8500,車 159.3,7827,,4,"0,000002%",,,10,軐,xìn,xin,fourth,,,
,8501,車 159.3,7828,6585,4,"0,000002%",,,7,轪,dài,dai,fourth,,,
,8502,車 159.3,8007,,3,"0,000002%",,,10,軎,wèi,wei,fourth,a brass parts for a cart in ancient China,,
,8503,車 159.3,9156,,1,"0,000001%",,,10,軏,yuè,yue,fourth,cross-bar at the end of the poles of a cart,,
,8504,車 159.3,9577,,1,"0,000001%",,,10,軔,rèn,ren,fourth,a block that keeps a wheel from moving,,
,8505,車 159.3,0,6586,,"0,000000%",,,7,𫐄,yuè,yue,fourth,cross-bar at the end of the poles of a cart,,
,8506,車 159.4,376,1059,115087,"0,059475%",4,3,8,转,zhuǎn,zhuan,third,"shift, move, turn",,
,8507,車 159.4,1043,1062,28885,"0,014927%",5,5,8,软,ruǎn,ruan,third,"soft, flexible, pliable; weak",,
,8508,車 159.4,1096,1061,25958,"0,013415%",5,4,8,轮,lún,lun,second,"wheel; revolve, turn; recur",,
,8509,車 159.4,1264,1057,19670,"0,010165%",6,7–9,8,轰,hōng,hong,first,"rumble, explosion, blast",,
,8510,車 159.4,2463,1060,3844,"0,001987%",6,7–9,8,斩,zhǎn,zhan,third,"cut, chop, sever; behead",,
,8511,車 159.4,4880,3893,206,"0,000106%",,,8,轭,è,e,fourth,"yoke, collar",,
,8512,車 159.4,6007,,63,"0,000033%",,,11,軟,ruǎn,ruan,third,"soft, flexible, pliable; weak",,
,8513,車 159.4,8084,,3,"0,000002%",,,11,転,zhuǎn,zhuan,third,"shift, move, turn",,
,8514,車 159.4,8098,,3,"0,000002%",,,11,軡,qián,qian,second,variant of 黔,,
,8515,車 159.4,8172,,3,"0,000002%",,,11,軙,chén,chen,second,a Chinese family name to arrange; to display wheel,,
,8516,車 159.4,8173,,3,"0,000002%",,,11,軠,rèn,ren,fourth,variant of 軖,,
,8517,車 159.4,8299,,2,"0,000001%",,,11,軛,è,e,fourth,"yoke, collar; to restrain",,
,8518,車 159.4,9578,,1,"0,000001%",,,11,軘,tún,tun,second,war car,,
,8519,車 159.4,9579,,1,"0,000001%",,,11,軣,hōng,hong,first,"rumble, explosion, blast",,
,8520,車 159.4,0,6670,,"0,000000%",,,8,𬨂,qí,qi,second,axle tip,,
,8521,車 159.5,460,1463,89852,"0,046434%",3,2,9,轻,qīng,qing,first,"light; easy, simple; gentle",,
,8522,車 159.5,2438,1462,4011,"0,002073%",,7–9,9,轴,zhóu,zhou,second,"axle, axletree; pivot; axis",,
,8523,車 159.5,3853,4179,663,"0,000343%",,,9,轲,kē,ke,first,axle; personal name of mencius,,
,8524,車 159.5,4046,4181,554,"0,000286%",,,9,轶,yì,yi,fourth,"rush forth; surpass, excel",,
,8525,車 159.5,4747,4178,239,"0,000124%",,,9,轱,gū,gu,first,wheel; to turn; to revolve,,
,8526,車 159.5,5511,4182,112,"0,000058%",,,9,轸,zhěn,zhen,third,cross board at rear of carriage,,
,8527,車 159.5,5519,4180,111,"0,000057%",,,9,轳,lú,lu,second,"pulley, windlass, capstan",,
,8528,車 159.5,6816,6817,16,"0,000008%",,,9,轹,lì,li,fourth,run over something with vehicle,,
,8529,車 159.5,6862,6818,15,"0,000008%",,,9,轺,yáo,yao,second,small light carriage,,
,8530,車 159.5,7264,6815,8,"0,000004%",,,9,轵,zhǐ,zhi,third,end of axle; divergent,,
,8531,車 159.5,7370,,7,"0,000004%",,,12,軸,zhóu,zhou,second,"axle, axletree; pivot; axis",,
,8532,車 159.5,8761,,2,"0,000001%",,,12,軷,bá,ba,second,sacrifice,,
,8533,車 159.5,9008,6816,1,"0,000001%",,,9,轷,hū,hu,first,surname,,
,8534,車 159.5,9157,,1,"0,000001%",,,12,軬,fàn,fan,fourth,,,
,8535,車 159.5,9580,,1,"0,000001%",,,12,軻,kē,ke,first,axle; personal name of mencius,,
,8536,車 159.5,9782,,1,"0,000001%",,,12,軧,dǐ,di,third,,,
,8537,車 159.6,491,1876,82870,"0,042826%",3,3,10,较,jiào,jiao,fourth,"compare; comparatively, more",,
,8538,車 159.6,2447,1875,3942,"0,002037%",,7–9,10,轿,jiào,jiao,fourth,"sedan-chair, palanquin",,
,8539,車 159.6,2926,4484,2100,"0,001085%",,,10,轼,shì,shi,fourth,horizontal wooden bar in front,,
,8540,車 159.6,5070,,172,"0,000089%",,,13,較,jiào,jiao,fourth,"compare; comparatively, more",,
,8541,車 159.6,6201,4486,46,"0,000024%",,,10,辂,lù,lu,fourth,"a chariot, carriage; a carriage pull-bar",,
,8542,車 159.6,6203,4485,46,"0,000024%",,,10,轾,zhì,zhi,fourth,low rear portion of cart,,
,8543,車 159.6,6570,,26,"0,000013%",,,13,載,zài,zai,fourth,"load; carry; transport, convey",,
,8544,車 159.6,6996,6977,12,"0,000006%",,,10,辀,zhōu,zhou,first,shaft,,
,8545,車 159.6,7251,,8,"0,000004%",,,13,軿,píng,ping,second,curtained carriage used by women,,
,8546,車 159.6,7713,,5,"0,000003%",,,13,輋,shē,she,first,"沙田禾輋, Hong Kong toponym",,
,8547,車 159.6,8361,,2,"0,000001%",,,13,輈,zhōu,zhou,first,shaft,,
,8548,車 159.6,8504,6978,2,"0,000001%",,,10,辁,quán,quan,second,cart wheel with no spokes,,
,8549,車 159.6,8998,,1,"0,000001%",,,13,輀,ér,er,second,hearse,,
,8550,車 159.6,9727,,1,"0,000001%",,,13,輂,jú,ju,second,horse carriage (old),,
,8551,車 159.6,0,6976,,"0,000000%",,,10,𨐈,guāng,guang,first,,,
,8552,車 159.7,1375,2251,16767,"0,008665%",3,2,11,辆,liàng,liang,fourth,numerary adjunct for vehicles,,
,8553,車 159.7,2033,2250,6782,"0,003505%",5,5,11,辅,fǔ,fu,third,cheek bone; protective; assist,,
,8554,車 159.7,3557,4807,967,"0,000500%",,,11,辄,zhé,zhe,second,sides of chariot where weapons,,
,8555,車 159.7,5756,,85,"0,000044%",,,14,輕,qīng,qing,first,"light; easy, simple; gentle",,
,8556,車 159.7,6839,,16,"0,000008%",,,14,輔,fǔ,fu,third,cheek bone; protective; assist,,
,8557,車 159.7,7111,,10,"0,000005%",,,14,輓,wǎn,wan,third,mourn; pull; draw,,
,8558,車 159.7,9581,,1,"0,000001%",,,14,輒,zhé,zhe,second,sides of chariot where weapons,,
,8559,車 159.7,9759,,1,"0,000001%",,,14,輐,wàn,wan,fourth,,,
,8560,車 159.8,4060,5120,546,"0,000282%",,,12,辍,chuò,chuo,fourth,"stop, suspend, halt",,
,8561,車 159.8,4142,5121,492,"0,000254%",,,12,辎,zī,zi,first,"a supply cart, covered wagon, dray",,
,8562,車 159.8,5044,5057,176,"0,000091%",,,12,辇,niǎn,nian,third,hand-cart; transport by carriage,,
,8563,車 159.8,5845,5117,75,"0,000039%",,,12,辊,gǔn,gun,third,"turn round, revolve; roller",,
,8564,車 159.8,6362,5118,36,"0,000019%",,,12,辋,wǎng,wang,third,"exterior rim of wheel, felly",,
,8565,車 159.8,7684,,5,"0,000003%",,,15,輪,lún,lun,second,"wheel; revolve, turn; recur",,
,8566,車 159.8,7765,7344,4,"0,000002%",,,12,辌,liáng,liang,second,a hearse; a carriage,,
,8567,車 159.8,8174,,3,"0,000002%",,,15,輩,bèi,bei,fourth,"generation, lifetime; class",,
,8568,車 159.8,8490,,2,"0,000001%",,,15,輖,zhōu,zhou,first,,,
,8569,車 159.8,8677,,2,"0,000001%",,,15,輝,huī,hui,first,"brightness, luster, brilliance",,
,8570,車 159.8,8908,,1,"0,000001%",,,15,輗,ní,ni,second,the cross-bar at the end of a carriage pole; linchpin of a large carriage,,
,8571,車 159.8,9374,,1,"0,000001%",,,15,輧,píng,ping,second,curtained carriage used by women,,
,8572,車 159.8,9582,,1,"0,000001%",,,15,輥,gǔn,gun,third,"turn round, revolve; roller",,
,8573,車 159.8,9583,,1,"0,000001%",,,15,輦,niǎn,nian,third,a hand-cart; to transport by carriage,,
,8574,車 159.8,9728,,1,"0,000001%",,,15,輨,guǎn,guan,third,,,
,8575,車 159.8,9760,,1,"0,000001%",,,15,輘,léng,leng,second,a car-rut; rumbling of a cart,,
,8576,車 159.8,0,7343,,"0,000000%",,,12,𫐐,ní,ni,second,the cross-bar at the end of a carriage pole; linchpin of a large carriage,,
,8577,車 159.9,939,2890,34688,"0,017926%",4,3,13,输,shū,shu,first,"transport, carry, haul",,
,8578,車 159.9,1362,2889,17169,"0,008873%",5,5,13,辑,jí,ji,second,"gather up, collect; edit, compile",,
,8579,車 159.9,2428,2888,4084,"0,002111%",6,7–9,13,辐,fú,fu,second,spokes of wheel,,
,8580,車 159.9,4354,5425,390,"0,000202%",,,13,辏,còu,cou,fourth,hubs of wheel; converge around,,
